dateid,areaID,deaths
20201219,mb,483
20201219,ms,281
20201219,ng,142
20201219,nm,194
20201219,po,65
20201219,sg,136
20201219,si,2594
20201219,za,47
20201218,ce,269
20201218,kk,94
20201218,kp,69
20201218,kr,260
20201218,lj,535
20201218,mb,473
20201218,ms,278
20201218,ng,139
20201218,nm,192
20201218,po,62
20201218,sg,135
20201218,si,2554
20201218,za,47
20201217,ce,265
20201217,kk,92
20201217,kp,67
20201217,kr,259
20201217,lj,525
20201217,mb,465
20201217,ms,274
20201217,ng,135
20201217,nm,188
20201217,po,62
20201217,sg,133
20201217,si,2512
20201217,za,46
20201216,ce,264
20201216,kk,90
20201216,kp,65
20201216,kr,257
20201216,lj,511
20201216,mb,458
20201216,ms,270
20201216,ng,133
20201216,nm,187
20201216,po,58
20201216,sg,133
20201216,si,2473
20201216,za,46
20201215,ce,261
20201215,kk,89
20201215,kp,64
20201215,kr,254
20201215,lj,496
20201215,mb,449
20201215,ms,266
20201215,ng,131
20201215,nm,186
20201215,po,55
20201215,sg,133
20201215,si,2431
20201215,za,46
20201214,ce,258
20201214,kk,87
20201214,kp,61
20201214,kr,252
20201214,lj,480
20201214,mb,436
20201214,ms,262
20201214,ng,129
20201214,nm,182
20201214,po,55
20201214,sg,130
20201214,si,2379
20201214,za,46
20201213,ce,257
20201213,kk,86
20201213,kp,58
20201213,kr,247
20201213,lj,459
20201213,mb,423
20201213,ms,257
20201213,ng,126
20201213,nm,182
20201213,po,53
20201213,sg,129
20201213,si,2324
20201213,za,46
20201212,ce,255
20201212,kk,85
20201212,kp,56
20201212,kr,244
20201212,lj,450
20201212,mb,409
20201212,ms,256
20201212,ng,123
20201212,nm,179
20201212,po,49
20201212,sg,127
20201212,si,2278
20201212,za,44
20201211,ce,251
20201211,kk,84
20201211,kp,54
20201211,kr,240
20201211,lj,445
20201211,mb,396
20201211,ms,256
20201211,ng,119
20201211,nm,178
20201211,po,45
20201211,sg,126
20201211,si,2239
20201211,za,44
20201210,ce,248
20201210,kk,83
20201210,kp,52
20201210,kr,235
20201210,lj,433
20201210,mb,387
20201210,ms,252
20201210,ng,112
20201210,nm,175
20201210,po,40
20201210,sg,124
20201210,si,2186
20201210,za,44
20201209,ce,243
20201209,kk,83
20201209,kp,48
20201209,kr,232
20201209,lj,419
20201209,mb,375
20201209,ms,246
20201209,ng,109
20201209,nm,170
20201209,po,36
20201209,sg,123
20201209,si,2129
20201209,za,44
20201208,ce,238
20201208,kk,81
20201208,kp,42
20201208,kr,230
20201208,lj,409
20201208,mb,360
20201208,ms,243
20201208,ng,102
20201208,nm,169
20201208,po,34
20201208,sg,121
20201208,si,2074
20201208,za,44
20201207,ce,234
20201207,kk,79
20201207,kp,40
20201207,kr,229
20201207,lj,393
20201207,mb,352
20201207,ms,240
20201207,ng,100
20201207,nm,166
20201207,po,32
20201207,sg,121
20201207,si,2031
20201207,za,44
20201206,ce,228
20201206,kk,79
20201206,kp,39
20201206,kr,224
20201206,lj,378
20201206,mb,335
20201206,ms,234
20201206,ng,99
20201206,nm,163
20201206,po,29
20201206,sg,118
20201206,si,1971
20201206,za,44
20201205,ce,220
20201205,kk,78
20201205,kp,36
20201205,kr,220
20201205,lj,364
20201205,mb,320
20201205,ms,227
20201205,ng,97
20201205,nm,161
20201205,po,28
20201205,sg,116
20201205,si,1912
20201205,za,44
20201204,ce,215
20201204,kk,78
20201204,kp,34
20201204,kr,215
20201204,lj,353
20201204,mb,307
20201204,ms,225
20201204,ng,94
20201204,nm,159
20201204,po,25
20201204,sg,114
20201204,si,1863
20201204,za,43
20201203,ce,211
20201203,kk,77
20201203,kp,31
20201203,kr,214
20201203,lj,339
20201203,mb,294
20201203,ms,222
20201203,ng,93
20201203,nm,157
20201203,po,24
20201203,sg,106
20201203,si,1812
20201203,za,43
20201202,ce,206
20201202,kk,74
20201202,kp,30
20201202,kr,209
20201202,lj,329
20201202,mb,279
20201202,ms,208
20201202,ng,87
20201202,nm,150
20201202,po,23
20201202,sg,101
20201202,si,1738
20201202,za,41
20201201,ce,199
20201201,kk,73
20201201,kp,29
20201201,kr,206
20201201,lj,320
20201201,mb,275
20201201,ms,202
20201201,ng,82
20201201,nm,145
20201201,po,20
20201201,sg,97
20201201,si,1689
20201201,za,40
20201130,ce,188
20201130,kk,73
20201130,kp,26
20201130,kr,204
20201130,lj,310
20201130,mb,261
20201130,ms,197
20201130,ng,77
20201130,nm,135
20201130,po,20
20201130,sg,94
20201130,si,1625
20201130,za,39
20201129,ce,182
20201129,kk,70
20201129,kp,22
20201129,kr,198
20201129,lj,302
20201129,mb,248
20201129,ms,188
20201129,ng,76
20201129,nm,130
20201129,po,19
20201129,sg,93
20201129,si,1567
20201129,za,38
20201128,ce,175
20201128,kk,69
20201128,kp,21
20201128,kr,194
20201128,lj,292
20201128,mb,241
20201128,ms,181
20201128,ng,69
20201128,nm,124
20201128,po,19
20201128,sg,92
20201128,si,1516
20201128,za,38
20201127,ce,173
20201127,kk,69
20201127,kp,19
20201127,kr,190
20201127,lj,280
20201127,mb,239
20201127,ms,170
20201127,ng,68
20201127,nm,118
20201127,po,16
20201127,sg,90
20201127,si,1470
20201127,za,37
20201126,ce,169
20201126,kk,68
20201126,kp,18
20201126,kr,186
20201126,lj,267
20201126,mb,224
20201126,ms,163
20201126,ng,64
20201126,nm,112
20201126,po,15
20201126,sg,87
20201126,si,1407
20201126,za,33
20201125,ce,166
20201125,kk,67
20201125,kp,15
20201125,kr,180
20201125,lj,260
20201125,mb,213
20201125,ms,155
20201125,ng,62
20201125,nm,108
20201125,po,15
20201125,sg,85
20201125,si,1360
20201125,za,33
20201124,ce,165
20201124,kk,65
20201124,kp,12
20201124,kr,175
20201124,lj,252
20201124,mb,200
20201124,ms,148
20201124,ng,58
20201124,nm,107
20201124,po,15
20201124,sg,79
20201124,si,1306
20201124,za,29
20201123,ce,162
20201123,kk,65
20201123,kp,11
20201123,kr,172
20201123,lj,247
20201123,mb,189
20201123,ms,139
20201123,ng,57
20201123,nm,103
20201123,po,15
20201123,sg,76
20201123,si,1262
20201123,za,25
20201122,ce,157
20201122,kk,63
20201122,kp,11
20201122,kr,162
20201122,lj,235
20201122,mb,177
20201122,ms,137
20201122,ng,51
20201122,nm,101
20201122,po,15
20201122,sg,72
20201122,si,1206
20201122,za,24
20201121,ce,152
20201121,kk,62
20201121,kp,11
20201121,kr,155
20201121,lj,223
20201121,mb,170
20201121,ms,132
20201121,ng,47
20201121,nm,93
20201121,po,14
20201121,sg,69
20201121,si,1153
20201121,za,24
20201120,ce,150
20201120,kk,62
20201120,kp,9
20201120,kr,154
20201120,lj,217
20201120,mb,167
20201120,ms,129
20201120,ng,46
20201120,nm,89
20201120,po,13
20201120,sg,67
20201120,si,1127
20201120,za,23
20201119,ce,147
20201119,kk,61
20201119,kp,9
20201119,kr,152
20201119,lj,204
20201119,mb,162
20201119,ms,121
20201119,ng,42
20201119,nm,86
20201119,po,12
20201119,sg,65
20201119,si,1084
20201119,za,22
