dateid,areaID,activeCases
20220112,ms,1585
20220112,ng,3296
20220112,nm,3585
20220112,po,1231
20220112,sg,1234
20220112,si,50701
20220112,za,1047
20220111,ce,5667
20220111,kk,1416
20220111,kp,2509
20220111,kr,4992
20220111,lj,14663
20220111,mb,4741
20220111,ms,1532
20220111,ng,3103
20220111,nm,3272
20220111,po,1083
20220111,sg,1151
20220111,si,45513
20220111,za,899
20220110,ce,4588
20220110,kk,1345
20220110,kp,2251
20220110,kr,4309
20220110,lj,12831
20220110,mb,4191
20220110,ms,1479
20220110,ng,2724
20220110,nm,2925
20220110,po,959
20220110,sg,1029
20220110,si,39948
20220110,za,853
20220109,ce,4283
20220109,kk,1228
20220109,kp,2137
20220109,kr,3833
20220109,lj,11640
20220109,mb,3937
20220109,ms,1491
20220109,ng,2433
20220109,nm,2662
20220109,po,844
20220109,sg,936
20220109,si,36593
20220109,za,733
20220108,ce,4184
20220108,kk,1197
20220108,kp,2094
20220108,kr,3628
20220108,lj,10700
20220108,mb,3727
20220108,ms,1495
20220108,ng,2348
20220108,nm,2573
20220108,po,831
20220108,sg,882
20220108,si,34764
20220108,za,693
20220107,ce,3834
20220107,kk,1134
20220107,kp,2022
20220107,kr,3426
20220107,lj,9585
20220107,mb,3435
20220107,ms,1419
20220107,ng,2252
20220107,nm,2375
20220107,po,796
20220107,sg,780
20220107,si,32070
20220107,za,649
20220106,ce,3275
20220106,kk,1044
20220106,kp,1812
20220106,kr,3035
20220106,lj,8396
20220106,mb,3142
20220106,ms,1380
20220106,ng,2032
20220106,nm,2144
20220106,po,728
20220106,sg,750
20220106,si,28669
20220106,za,609
20220105,ce,2888
20220105,kk,934
20220105,kp,1627
20220105,kr,2640
20220105,lj,7494
20220105,mb,2979
20220105,ms,1308
20220105,ng,1782
20220105,nm,1957
20220105,po,640
20220105,sg,746
20220105,si,25791
20220105,za,516
20220104,ce,2533
20220104,kk,835
20220104,kp,1462
20220104,kr,2329
20220104,lj,6575
20220104,mb,2745
20220104,ms,1264
20220104,ng,1570
20220104,nm,1757
20220104,po,553
20220104,sg,726
20220104,si,23067
20220104,za,473
20220103,ce,2099
20220103,kk,807
20220103,kp,1285
20220103,kr,1920
20220103,lj,5630
20220103,mb,2681
20220103,ms,1187
20220103,ng,1275
20220103,nm,1623
20220103,po,472
20220103,sg,617
20220103,si,20238
20220103,za,421
20220102,ce,1765
20220102,kk,731
20220102,kp,1136
20220102,kr,1729
20220102,lj,5151
20220102,mb,2507
20220102,ms,1158
20220102,ng,1171
20220102,nm,1473
20220102,po,374
20220102,sg,642
20220102,si,18394
20220102,za,372
20220101,ce,1692
20220101,kk,733
20220101,kp,1142
20220101,kr,1687
