dateID,documentOrd,srcLink
20201218,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3018265:1608317252/Report%2062%20(1).pdf
20201218,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3017706:1608295680/Report%20informatizzato_20201218_ore8.pdf
20201217,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3016969:1608232199/Report%2061.pdf
20201217,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3016363:1608209074/Report%2060.pdf
20201216,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3015587:1608145098/Report%2059%20(1).pdf
20201216,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3014992:1608122252/Report%2058.pdf
20201215,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3014153:1608051215/Report%2057.pdf
20201215,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3013877:1608036686/Report%2056.pdf
20201214,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3013132:1607966334/Report%2055.pdf
20201214,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3012716:1607949474/Report%2054.pdf
20201213,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3012076:1607886498/Report%2053.pdf
20201213,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3011874:1607870543/Report%2052%20(2)_13152048.pdf
20201212,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3011071:1607793947/Report%2051.pdf
20201212,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3010599:1607776873/Report%2050.pdf
20201211,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3009927:1607707246/Report%2049.pdf
20201211,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3009413:1607690713/Report%2048.pdf
20201210,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3008886:1607628159/Report%2047%20(1).pdf
20201210,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3008161:1607604197/Report%2046.pdf
20201209,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3007429:1607541634/Report_DEF_09122020_1700%20(1).pdf
20201209,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3006767:1607516862/Report%2045.pdf
20201208,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3006254:1607450949/Report%2043.pdf
20201208,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3005769:1607418684/Report%2042%20(1).pdf
20201207,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3005260:1607364925/Report%2041.pdf
20201207,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3004756:1607345288/Report%2040.pdf
20201206,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3004151:1607275898/Report%2039.pdf
20201206,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3003864:1607255873/Report%2038.pdf
20201205,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3003096:1607186345/Report%2037.pdf
20201205,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3002873:1607173286/Report%2036.pdf
20201204,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3002106:1607106057/Report%2035.pdf
20201204,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3001575:1607085555/Report%2033.pdf
20201203,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.3000674:1607014129/Report%2032.pdf
20201202,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2999486:1606927704/Report%2029.pdf
20201202,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2999090:1606913422/Report%2028.pdf
20201201,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2998142:1606840530/Report%2027.pdf
20201201,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2997788:1606826301/Report%20informatizzato_20201201_ore8.pdf
20201130,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2997103:1606760815/Report%2026.pdf
20201130,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2996360:1606738772/Report%2025.pdf
20201129,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2995714:1606672933/Report%2024.pdf
20201129,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2995288:1606645885/Report%2023.pdf
20201128,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2994863:1606588903/Report%2022.pdf
20201128,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2994362:1606568105/Report%2021%20(1).pdf
20201127,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2993546:1606495574/Report%2020.pdf
20201127,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2993186:1606480750/Report%2019.pdf
20201126,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2992289:1606410523/Report%2018.pdf
20201126,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2991810:1606393012/Report%2017.pdf
20201125,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2990973:1606393067/report_20201125_ore1700.pdf
20201125,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2990386:1606308053/Report_20201125_ore800.pdf
20201124,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2989552:1606235822/Report%20informatizzato_20201124_ore%2017.pdf
20201124,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2989267:1606222190/Report%20informatizzato_20201124_ore%208.pdf
20201123,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2988355:1606151899/Report%2016.pdf
20201123,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2987836:1606133845/Report%2015%20(1).pdf
20201122,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2987251:1606066547/Report%2014%20(1).pdf
20201122,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2986902:1606041904/Report%2013.pdf
20201121,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2986398:1605978117/Report%2012%20(1).pdf
20201121,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2985998:1605961437/Report%2011.pdf
20201120,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2985134:1605892251/Report%2010.pdf
20201120,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2984819:1605877266/Report%209.pdf
20201119,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2983961:1605805567/Report%208.pdf
20201119,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2983620:1605793292/Report%207%20(1).pdf
20201118,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2982859:1605726566/Report%205.pdf
20201118,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2982345:1605704673/Report%203.pdf
20201117,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2981477:1605634556/Report%202.pdf
20201117,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2980929:1605615641/Report%2050%20(1).pdf
20201116,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2980119:1605545870/Report%2049.pdf
20201116,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2979729:1605527820/Report%2048.pdf
20201115,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2979140:1605463606/Report%2047.pdf
20201115,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2978814:1605433077/Report%2046.pdf
20201114,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2978416:1605378794/Report%2045.pdf
20201114,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2978102:1605362847/Report%2044.pdf
20201113,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2977221:1605288425/Report%2043.pdf
20201113,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2976703:1605273950/Report%2042.pdf
20201112,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2975930:1605206755/Report%2041%20(1).pdf
20201112,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2975470:1605191895/Report%2040.pdf
20201111,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2974628:1605117490/Report%2037.pdf
20201111,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2974116:1605098485/Report%2036.pdf
20201110,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2973447:1605033726/Report%2035.pdf
20201110,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2972889:1605012844/Report%2034.pdf
20201109,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2972078:1604944635/Report%2033.pdf
20201109,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2971649:1604927372/Report%20informatizzato_20201109_ore8%202.pdf
20201108,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2970955:1604858397/Report%20informatizzato_20201108_ore17.pdf
20201108,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2970635:1604835454/Report%20informatizzato_20201108_ore8.pdf
20201107,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2970104:1604775003/Report%20informatizzato_20201107_ore17%202%20(1).pdf
20201107,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2969664:1604754311/Report%2032%20(2).pdf
20201106,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2969079:1604684944/Report%2031%20(1).pdf
20201106,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2968615:1604664612/Report%2030.pdf
20201105,2,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2967799:1604596114/Report%2029.pdf
20201105,1,https://www.ilgiornaledivicenza.it/filedelivery/policy:7.2967432:1604578928/Report%2028.pdf
