dateID,sigla_provincia,totale_casi
20220411,KR,32926
20220411,VV,35715
20220411,TP,78320
20220411,PA,246362
20220411,ME,144824
20220411,AG,79994
20220411,CL,62780
20220411,EN,29995
20220411,CT,215402
20220411,RG,75676
20220411,SR,93253
20220411,SS,69732
20220411,NU,35666
20220411,CA,68449
20220411,OR,28686
20220411,SU,44703
20220410,TO,572189
20220410,VC,38224
20220410,NO,81461
20220410,CN,139749
20220410,AT,50119
20220410,AL,94289
20220410,BI,41008
20220410,VB,39540
20220410,AO,30623
20220410,VA,240991
20220410,CO,161364
20220410,SO,43732
20220410,MI,854195
20220410,BG,201019
20220410,BS,327377
20220410,PV,137856
20220410,CR,85980
20220410,MN,109428
20220410,LC,76559
20220410,LO,56651
20220410,MB,237880
20220410,BZ,189524
20220410,TN,153605
20220410,VR,287501
20220410,VI,272856
20220410,BL,59068
20220410,TV,282852
20220410,VE,257255
20220410,PD,299453
20220410,RO,64473
20220410,UD,143270
20220410,GO,38624
20220410,TS,75116
20220410,PN,82664
20220410,IM,54877
20220410,SV,64847
20220410,GE,207543
20220410,SP,54875
20220410,PC,68928
20220410,PR,105562
20220410,RE,150114
20220410,MO,199410
20220410,BO,305789
20220410,FE,91066
20220410,RA,122576
20220410,FC,133892
20220410,RN,124731
20220410,MS,49663
20220410,LU,108235
20220410,PT,82815
20220410,FI,287998
20220410,LI,89711
20220410,PI,116979
20220410,AR,94414
20220410,SI,70712
20220410,GR,53736
20220410,PO,71944
20220410,PG,179709
20220410,TR,56443
20220410,PU,81556
20220410,AN,125719
20220410,MC,81309
20220410,AP,55877
20220410,FM,48662
20220410,VT,64768
20220410,RI,40673
20220410,RM,1001800
20220410,LT,138401
20220410,FR,108975
20220410,AQ,71932
20220410,TE,83842
20220410,PE,76825
20220410,CH,92848
20220410,CB,38497
20220410,IS,14007
20220410,CE,226818
20220410,BN,55118
20220410,NA,821054
20220410,AV,86036
20220410,SA,252761
20220410,FG,145415
20220410,BA,316582
20220410,TA,128240
20220410,BR,89732
20220410,LE,194100
20220410,BT,89578
20220410,PZ,72449
20220410,MT,39543
20220410,CS,79076
20220410,CZ,43734
20220410,RC,126202
20220410,KR,32704
20220410,VV,35502
20220410,TP,78135
20220410,PA,245787
20220410,ME,144365
20220410,AG,79837
20220410,CL,62677
20220410,EN,29978
20220410,CT,215006
20220410,RG,75534
20220410,SR,93131
20220410,SS,69607
20220410,NU,35609
20220410,CA,68249
20220410,OR,28244
20220410,SU,44363
20220409,TO,571276
20220409,VC,38159
20220409,NO,81361
20220409,CN,139615
20220409,AT,50006
20220409,AL,94044
20220409,BI,40934
20220409,VB,39462
20220409,AO,30546
20220409,VA,240382
20220409,CO,161015
20220409,SO,43615
20220409,MI,852001
20220409,BG,200564
20220409,BS,326581
20220409,PV,137514
20220409,CR,85771
20220409,MN,109085
20220409,LC,76273
20220409,LO,56528
20220409,MB,237289
20220409,BZ,189273
