dateid,areaID,confirmedCases
20210324,kr,22271
20210324,lj,50394
20210324,mb,31345
20210324,ms,13975
20210324,ng,10009
20210324,nm,16380
20210324,po,4650
20210324,sg,8307
20210324,si,209867
20210324,za,5578
20210323,ce,27544
20210323,kk,8482
20210323,kp,9403
20210323,kr,22163
20210323,lj,50059
20210323,mb,31215
20210323,ms,13931
20210323,ng,9888
20210323,nm,16302
20210323,po,4623
20210323,sg,8259
20210323,si,208704
20210323,za,5548
20210322,ce,27338
20210322,kk,8454
20210322,kp,9291
20210322,kr,22043
20210322,lj,49739
20210322,mb,31083
20210322,ms,13867
20210322,ng,9798
20210322,nm,16210
20210322,po,4589
20210322,sg,8220
20210322,si,207415
20210322,za,5502
20210321,ce,27163
20210321,kk,8429
20210321,kp,9218
20210321,kr,21967
20210321,lj,49524
20210321,mb,30931
20210321,ms,13827
20210321,ng,9723
20210321,nm,16152
20210321,po,4562
20210321,sg,8184
20210321,si,206430
20210321,za,5474
20210320,ce,27154
20210320,kk,8428
20210320,kp,9215
20210320,kr,21940
20210320,lj,49451
20210320,mb,30848
20210320,ms,13796
20210320,ng,9713
20210320,nm,16135
20210320,po,4561
20210320,sg,8157
20210320,si,206140
20210320,za,5467
20210319,ce,27098
20210319,kk,8405
20210319,kp,9211
20210319,kr,21892
20210319,lj,49299
20210319,mb,30765
20210319,ms,13770
20210319,ng,9658
20210319,nm,16117
20210319,po,4552
20210319,sg,8129
20210319,si,205623
20210319,za,5453
20210318,ce,26962
20210318,kk,8392
20210318,kp,9150
20210318,kr,21806
20210318,lj,48988
20210318,mb,30617
20210318,ms,13724
20210318,ng,9603
20210318,nm,16050
20210318,po,4535
20210318,sg,8080
20210318,si,204590
20210318,za,5417
20210317,ce,26857
20210317,kk,8384
20210317,kp,9063
20210317,kr,21715
20210317,lj,48752
20210317,mb,30467
20210317,ms,13692
20210317,ng,9526
20210317,nm,16006
20210317,po,4517
20210317,sg,8027
20210317,si,203647
20210317,za,5380
20210316,ce,26703
20210316,kk,8365
20210316,kp,8965
20210316,kr,21608
20210316,lj,48502
20210316,mb,30361
20210316,ms,13650
20210316,ng,9461
20210316,nm,15942
20210316,po,4498
20210316,sg,8003
20210316,si,202671
20210316,za,5360
20210315,ce,26550
20210315,kk,8352
20210315,kp,8862
20210315,kr,21497
20210315,lj,48237
20210315,mb,30228
20210315,ms,13602
20210315,ng,9406
20210315,nm,15881
20210315,po,4468
20210315,sg,7934
20210315,si,201558
20210315,za,5296
20210314,ce,26393
20210314,kk,8334
20210314,kp,8791
20210314,kr,21418
20210314,lj,48015
20210314,mb,30116
20210314,ms,13561
20210314,ng,9335
20210314,nm,15812
20210314,po,4441
20210314,sg,7901
20210314,si,200637
20210314,za,5278
20210313,ce,26382
20210313,kk,8333
20210313,kp,8791
20210313,kr,21402
20210313,lj,47983
20210313,mb,30032
20210313,ms,13543
20210313,ng,9328
20210313,nm,15807
20210313,po,4441
20210313,sg,7883
20210313,si,200432
20210313,za,5268
20210312,ce,26340
20210312,kk,8322
20210312,kp,8787
20210312,kr,21353
20210312,lj,47807
20210312,mb,29944
20210312,ms,13525
20210312,ng,9281
20210312,nm,15791
20210312,po,4440
20210312,sg,7874
20210312,si,199950
20210312,za,5255
20210311,ce,26226
20210311,kk,8307
20210311,kp,8732
20210311,kr,21255
20210311,lj,47604
20210311,mb,29817
20210311,ms,13478
20210311,ng,9223
20210311,nm,15745
20210311,po,4420
20210311,sg,7834
20210311,si,199098
20210311,za,5230
20210310,ce,26151
20210310,kk,8284
20210310,kp,8665
20210310,kr,21168
20210310,lj,47427
20210310,mb,29714
20210310,ms,13444
20210310,ng,9185
20210310,nm,15678
20210310,po,4407
20210310,sg,7795
20210310,si,198326
20210310,za,5184
20210309,ce,26036
20210309,kk,8273
20210309,kp,8615
20210309,kr,21069
20210309,lj,47222
20210309,mb,29614
20210309,ms,13387
20210309,ng,9092
